"","nom","Moudenc_R2","Piquemal_R2","NonVotants_R2"
"128","Salle Lafage",159,237,175
"009","École élémentaire du Nord",329,463,379
"170","Salle Barcelone",371,365,338
"032","Salle Osète",478,161,282
"127","Salle Lafage",186,374,407
"011","École élémentaire du Nord",430,356,271
"141","Gymnase Puig",216,427,287
"203","École maternelle Reille",365,434,348
"014","École élémentaire Bayard",292,406,435
"197","École élémentaire Cuvier",354,253,442
"252","Groupe Scolaire Anatole France",464,136,338
"053","École élémentaire Jean Jaurès",440,321,254
"144","Groupe Scolaire Littre",501,229,451
"019","Salle Osète",274,330,278
"192B","École élémentaire Ernest Renan",58,114,399
