"","nom","Briancon_PS","Scalli","Adrada","Menendez","Moudenc_DVD","Leonardelli_RN","Cottrel","Meilhac","Piquemal_LFI","Pedinotti","NonVotants_R1"
"097","Centre Socio-Culturel Alban Minville",25,1,1,2,95,11,1,1,130,1,855
"062","École élémentaire Fabre",123,0,0,1,374,20,6,14,92,6,303
"253","Groupe Scolaire Anatole France",155,1,1,1,363,33,13,7,108,2,363
"002","Capitole – Salle des Commissions",150,1,3,0,216,18,2,4,160,4,337
"238","École élémentaire Château de l'Hers",144,1,5,2,241,69,9,6,104,4,450
"175","Groupe Scolaire Château d'Ancely",120,0,2,0,195,37,7,11,95,4,493
"044","Groupe Scolaire Bonhoure",253,1,2,4,252,26,5,7,234,14,387
"235","École élémentaire Château de l'Hers",137,0,2,0,375,28,5,15,98,1,329
"229","École élémentaire Jean Macé",115,2,0,1,466,26,15,10,49,3,317
"008","École élémentaire du Nord",216,0,1,0,191,16,3,9,269,9,444
"212","École élémentaire La Juncasse",166,0,5,2,272,46,6,10,154,7,572
"242","École élémentaire Henri Guillaumet",99,0,1,0,291,15,10,8,75,5,346
"224","École élémentaire Armand Leygue",145,2,2,1,506,47,15,8,69,2,314
"027","École élémentaire Pierre et Marie Curie",242,3,3,0,257,23,9,13,260,6,406
"242A","École élémentaire Henri Guillaumet",112,1,1,4,148,25,0,5,158,4,474
"196A","École élémentaire Cuvier",101,2,2,1,165,39,6,6,121,3,351
"218","École élémentaire Soupetard",122,0,2,2,182,36,8,9,104,5,395
"088","École élémentaire Maurice Jacquier",90,0,4,1,160,36,6,6,98,4,317
"110","École élémentaire Paul Bert",79,3,2,0,129,58,6,11,125,5,641
"149","Gymnase Montané",228,0,2,1,206,23,10,8,263,2,395
"238A","École élémentaire Château de l'Hers",81,1,1,0,165,36,1,8,78,6,383
"136","Gymnase Petit Capitole",147,0,0,0,207,41,9,11,126,5,429
"171","École élémentaire des Sept Deniers",208,0,5,0,273,39,11,8,133,4,415
"168","Salle Barcelone",197,2,2,1,232,21,6,8,193,4,366
"182A","École élémentaire Jules Ferry",198,0,8,0,223,51,8,7,167,5,485
"007","Salle Barcelone",98,0,1,0,233,15,15,2,134,7,384
"198A","École élémentaire Cuvier",95,1,1,0,197,34,4,7,90,1,333
"154","École élémentaire des Amidonniers",213,4,2,2,289,32,11,19,204,4,462
"096","École élémentaire Sylvain Dauriac",153,4,3,1,156,17,2,7,151,5,351
"160","Maison Toulouse Services Nord Minimes",199,2,2,0,225,27,7,9,194,8,394
"112A","École élémentaire Paul Bert",119,1,1,0,234,53,8,17,70,0,327
"130A","Gymnase Montané",195,1,1,2,185,25,6,7,218,5,429
"181","École élémentaire Jules Ferry",182,0,1,0,213,32,6,4,191,10,383
"067","Maison des Associations",261,0,6,5,219,29,11,16,325,17,575
"161","École élémentaire Alfred de Musset",129,1,0,1,189,11,2,7,142,2,271
"038","Salle Osète",155,1,2,0,211,11,8,12,200,3,433
"176","Groupe Scolaire Château d'Ancely",117,1,3,1,143,39,7,8,117,8,480
"045","Groupe Scolaire Bonhoure",124,1,3,0,205,12,10,9,128,2,237
"102","École maternelle Didier Daurat",21,0,0,1,25,4,0,0,91,0,766
"167","Salle Barcelone",132,2,2,1,226,25,6,11,138,3,500
"115","Gymnase Puig",158,0,2,1,178,16,5,13,257,9,461
"084","Salle Lafage",229,5,3,1,224,27,9,16,231,9,378
"228","École élémentaire Armand Leygue",146,3,1,0,287,24,7,11,125,5,300
"029","École élémentaire Pierre et Marie Curie",181,2,2,1,204,19,4,19,267,9,443
"239","École élémentaire Henri Guillaumet",96,1,0,1,179,67,13,17,126,9,583
"123A","Gymnase Montané",174,0,5,1,189,25,6,11,213,8,418
"243","École élémentaire Henri Guillaumet",144,0,0,0,233,40,10,9,71,2,386
"173","École élémentaire des Sept Deniers",198,2,1,1,248,42,14,9,163,3,355
"165A","École maternelle des Ponts Jumeaux",123,2,3,2,178,18,7,9,115,8,380
"028","École élémentaire Pierre et Marie Curie",165,1,4,2,182,34,4,14,209,11,433
"111","École élémentaire Paul Bert",103,3,4,0,137,35,10,7,138,7,542
"054","Maison des Associations",224,2,2,1,172,23,3,21,190,6,399
"092","École élémentaire Buffon",81,2,1,0,166,53,5,8,161,3,648
"039","Salle Osète",15,0,1,0,10,3,0,1,11,1,40
"041","École élémentaire Calvinhac",109,0,3,0,201,34,8,8,126,4,344
"072","Maison des Associations",32,0,0,0,27,4,1,1,71,6,268
"148A","Gymnase Petit Capitole",66,0,1,2,122,33,6,7,71,3,304
"112","École élémentaire Paul Bert",135,1,0,1,265,76,11,20,129,5,512
"063","École élémentaire Fabre",80,0,1,0,338,16,14,6,56,1,249
"004","Salle Barcelone",155,1,1,0,174,14,2,10,159,8,355
"043","Groupe Scolaire Bonhoure",174,1,1,0,274,26,6,12,160,2,314
"133","École élémentaire Georges Hyon",71,0,0,0,72,16,8,3,177,1,533
"254","Groupe Scolaire Anatole France",137,1,1,0,169,22,4,14,99,7,314
"156","École élémentaire des Amidonniers",193,4,4,0,265,23,6,8,242,6,408
"152","Gymnase Montané",107,1,3,2,173,23,12,4,119,2,279
"114","Gymnase Puig",189,2,4,3,208,24,8,12,249,8,386
"251","Groupe Scolaire Anatole France",169,1,4,1,333,47,10,10,126,8,448
"199","École élémentaire La Maourine",120,3,2,1,157,42,3,11,120,5,360
"015","École élémentaire Bayard",194,3,0,1,229,23,5,10,243,7,423
"164","École élémentaire Alfred de Musset",93,0,3,1,103,15,3,3,109,11,279
"210","École élémentaire Michoun",160,0,1,1,275,51,8,7,148,11,420
"231","École élémentaire Jean Macé",117,0,0,0,424,33,13,10,45,1,281
"137","Gymnase Petit Capitole",78,1,3,3,165,49,5,6,93,4,520
"246","École élémentaire La Terrasse",151,0,3,1,258,30,10,7,65,2,283
"134","Gymnase Petit Capitole",106,1,2,2,181,36,6,5,122,4,509
"183A","École élémentaire Lalande",101,5,2,1,171,80,5,12,123,3,700
"048","École élémentaire Jean Jaurès",202,0,6,2,321,17,7,9,211,10,378
"024","Espace Bonnefoy-Périole",220,1,4,1,272,22,20,10,233,13,427
"076","Gymnase Jean Moulin",265,4,1,3,242,20,12,19,192,7,382
"243A","École élémentaire Henri Guillaumet",71,1,5,3,79,20,4,4,118,8,573
"208","École élémentaire Michoun",124,2,1,2,193,45,3,10,194,10,541
"022","École élémentaire Bonnefoy",145,6,7,0,194,28,7,9,204,12,379
"069A","Maison des Associations",189,0,0,0,150,16,1,12,194,9,327
"020","École élémentaire Bonnefoy",168,5,7,1,185,40,4,3,226,11,444
"145","Groupe Scolaire Littre",130,1,3,1,236,63,6,14,109,11,575
"185","École élémentaire Lalande",129,2,4,1,249,80,8,10,99,4,696
"184","École élémentaire Lalande",75,0,1,1,150,40,8,6,76,5,498
"207","École élémentaire Michoun",128,3,4,0,253,30,6,5,125,6,412
"219","École élémentaire Soupetard",21,1,0,1,38,8,1,0,32,1,108
"061","École élémentaire Fabre",140,1,1,0,358,13,15,4,110,2,330
"099","Centre Socio-Culturel Alban Minville",72,1,2,0,119,30,2,0,164,3,913
"066","École élémentaire Sauzelong",178,3,2,1,184,30,3,10,229,7,547
"090","École élémentaire Les Oustalous",148,2,2,0,296,31,7,10,88,3,231
"073","Maison des Associations",51,1,1,0,67,12,3,4,67,4,540
"098","Centre Socio-Culturel Alban Minville",20,0,1,0,58,4,4,1,148,1,862
"198","École élémentaire Cuvier",120,5,2,0,189,30,5,13,117,5,530
"126","Salle Lafage",230,0,6,4,172,26,6,17,270,5,392
"195","École élémentaire Cuvier",199,2,6,2,252,63,3,10,163,9,524
"078","Gymnase Jean Moulin",184,2,4,0,190,32,3,17,218,1,479
"128","Salle Lafage",86,2,2,0,101,21,3,1,158,5,201
"009","École élémentaire du Nord",180,3,2,1,225,22,12,5,281,7,444
"170","Salle Barcelone",207,2,2,1,265,14,8,5,202,11,371
"032","Salle Osète",108,0,0,1,343,20,12,0,102,1,346
"127","Salle Lafage",136,1,3,1,101,28,4,3,257,6,439
"011","École élémentaire du Nord",213,1,2,1,306,13,4,7,190,5,332
"141","Gymnase Puig",174,3,2,0,124,11,9,10,261,8,340
"203","École maternelle Reille",194,3,4,7,235,34,9,8,249,12,405
"014","École élémentaire Bayard",165,2,8,2,173,27,6,6,245,6,513
"197","École élémentaire Cuvier",133,2,2,0,232,45,11,12,128,5,490
"252","Groupe Scolaire Anatole France",85,1,1,0,272,81,9,8,68,2,414
"053","École élémentaire Jean Jaurès",170,4,0,1,288,23,14,14,185,4,326
"144","Groupe Scolaire Littre",132,4,3,1,319,59,13,11,111,5,531
"019","Salle Osète",161,0,1,1,171,16,4,10,193,7,334
"192B","École élémentaire Ernest Renan",29,1,1,2,37,17,2,3,66,1,413
